PdfType: replica
Format: lhagrid1
---
1.00000E-07 1.58489E-07 2.51189E-07 3.98107E-07 6.30957E-07 1.00000E-06 1.58489E-06 2.51189E-06 3.98107E-06 6.30957E-06 1.00000E-05 1.58489E-05 2.51189E-05 3.98107E-05 6.30957E-05 1.00000E-04 1.58489E-04 2.51189E-04 3.98107E-04 6.30957E-04 1.00000E-03 1.58489E-03 2.51189E-03 3.98107E-03 6.30957E-03 1.00000E-02 1.25893E-02 1.58489E-02 1.99526E-02 2.51189E-02 3.16228E-02 3.98107E-02 5.01187E-02 6.30957E-02 7.94328E-02 1.00000E-01 1.25900E-01 1.58500E-01 1.99500E-01 2.51200E-01 3.16200E-01 3.98100E-01 5.01200E-01 6.31000E-01 7.94300E-01 1.00000E+00
1.00000E+00 1.09854E+00 1.20679E+00 1.32571E+00 1.45635E+00 1.59986E+00 1.75751E+00 1.93070E+00 2.12095E+00 2.32995E+00 2.55955E+00 2.81177E+00 3.08884E+00 3.39322E+00 3.72759E+00 4.09492E+00 4.49843E+00 4.94171E+00 5.42868E+00 5.96362E+00 6.55129E+00 7.19686E+00 7.90604E+00 8.68511E+00 9.54095E+00 1.04811E+01 1.15140E+01 1.26486E+01 1.38950E+01 1.52642E+01 1.67683E+01 1.84207E+01 2.02359E+01 2.22300E+01 2.44205E+01 2.68270E+01 2.94705E+01 3.23746E+01 3.55648E+01 3.90694E+01 4.29193E+01 4.71487E+01 5.17947E+01 5.68987E+01 6.25055E+01 6.86649E+01 7.54312E+01 8.28643E+01 9.10298E+01 1.00000E+02
-5 -4 -3 -2 -1 0 1 2 3 4 5
0.00000E+00 0.00000E+00 7.43097E-03 7.64787E-04 1.13586E-04 3.43819E-02 1.41422E-01 4.43773E-01 2.18331E-03 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 2.19227E-02 1.86027E-05 -2.65619E-04 -1.74947E-04 4.35182E-02 2.07999E-01 1.50398E-04 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 1.73370E-02 -2.38192E-05 -1.77137E-05 -4.06971E-04 2.95353E-03 3.56114E-02 1.80077E-05 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.34922E-05 -8.68240E-05 -5.17110E-06 -1.14838E-03 -8.65829E-05 1.27755E-06 -2.35554E-04 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.80503E-02 2.48862E+00 2.49306E+00 -2.09138E+00 2.48848E+00 2.49219E+00 -5.79257E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.51676E-02 2.24590E+00 2.25061E+00 -1.93921E+00 2.24611E+00 2.25110E+00 -5.51311E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.26939E-02 2.02636E+00 2.03136E+00 -1.80237E+00 2.02648E+00 2.03186E+00 -5.26931E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -5.05642E-02 1.82778E+00 1.83307E+00 -1.67924E+00 1.82776E+00 1.83333E+00 -5.05728E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.87329E-02 1.64812E+00 1.65372E+00 -1.56860E+00 1.64805E+00 1.65386E+00 -4.87399E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.71619E-02 1.48556E+00 1.49148E+00 -1.46938E+00 1.48550E+00 1.49169E+00 -4.71645E-02 0.00000E+00 0.00000E+00
