 RS,Rtau,  xF   ,obs,units,  value  ,   stat ,   syst  
3.88E+01,1.67E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.35E+00,1.30E-01,8.43E-02
3.88E+01,1.79E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.62E+00,1.22E-01,6.58E-02
3.88E+01,1.92E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.14E+00,1.07E-01,5.91E-02
3.88E+01,2.05E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.72E+00,1.01E-01,5.45E-02
3.88E+01,2.18E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.57E+00,9.70E-02,5.55E-02
3.88E+01,2.91E-01,4.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.81E-01,5.20E-02,8.41E-03
3.88E+01,3.16E-01,4.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.59E-01,5.59E-02,2.35E-02
3.88E+01,3.47E-01,4.29E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.06E-01,5.73E-01,2.29E-02
3.88E+01,1.15E-01,4.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.39E+00,2.93E-01,1.33E-01
3.88E+01,1.28E-01,4.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.71E+00,2.22E-01,9.81E-02
3.88E+01,1.41E-01,4.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.37E+00,1.61E-01,6.90E-02
3.88E+01,1.54E-01,4.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.66E+00,1.26E-01,5.31E-02
3.88E+01,1.66E-01,4.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.98E+00,1.01E-01,3.94E-02
3.88E+01,1.79E-01,4.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.97E+00,9.87E-02,5.36E-02
3.88E+01,1.92E-01,4.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.57E+00,9.08E-02,5.48E-02
3.88E+01,2.05E-01,4.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.27E+00,8.42E-02,2.78E-02
3.88E+01,2.18E-01,4.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.26E-01,7.47E-02,2.15E-02
3.88E+01,2.91E-01,4.72E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.63E-01,4.46E-02,8.59E-03
3.88E+01,3.18E-01,4.71E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.83E-01,4.47E-02,6.93E-03
3.88E+01,3.48E-01,4.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.84E-02,4.03E-02,9.37E-03
3.88E+01,1.16E-01,5.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.94E+00,2.53E-01,1.18E-01
3.88E+01,1.28E-01,5.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.68E+00,1.84E-01,1.19E-01
3.88E+01,1.41E-01,5.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.38E+00,1.29E-01,7.17E-02
3.88E+01,1.53E-01,5.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.91E+00,1.01E-01,6.56E-02
3.88E+01,1.67E-01,5.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.58E+00,8.30E-02,3.70E-02
3.88E+01,1.79E-01,5.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.33E+00,7.94E-02,3.53E-02
3.88E+01,1.92E-01,5.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.03E+00,7.45E-02,2.44E-02
3.88E+01,2.05E-01,5.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.03E+00,7.40E-02,2.38E-02
3.88E+01,2.18E-01,5.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.93E-01,6.51E-02,2.02E-02
3.88E+01,2.90E-01,5.27E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.93E-01,3.44E-02,1.35E-03
3.88E+01,3.14E-01,5.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.34E-02,2.64E-02,2.94E-03
3.88E+01,3.47E-01,5.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.78E-01,7.66E-02,1.37E-02
3.88E+01,3.84E-01,5.31E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.89E+00,1.89E+00,6.84E-01
3.88E+01,1.15E-01,5.71E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.51E+00,1.68E-01,6.76E-02
3.88E+01,1.28E-01,5.75E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.64E+00,1.25E-01,6.59E-02
3.88E+01,1.41E-01,5.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.50E+00,1.03E-01,4.17E-02
3.88E+01,1.54E-01,5.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.21E+00,7.58E-02,3.17E-02
3.88E+01,1.66E-01,5.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.20E+00,8.19E-02,2.61E-02
3.88E+01,1.79E-01,5.72E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.09E-01,6.33E-02,2.08E-02
3.88E+01,1.92E-01,5.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.23E-01,5.74E-02,1.93E-02
3.88E+01,2.05E-01,5.72E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.29E-01,5.37E-02,2.36E-02
3.88E+01,2.18E-01,5.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.78E-01,5.29E-02,1.91E-02
3.88E+01,2.91E-01,5.70E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.22E-01,2.38E-02,4.55E-03
3.88E+01,3.15E-01,5.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.62E-02,2.97E-02,6.72E-03
3.88E+01,3.43E-01,5.70E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.63E-01,2.12E-01,5.42E-03
3.88E+01,1.16E-01,6.22E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.47E+00,1.81E-01,1.18E-01
3.88E+01,1.28E-01,6.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.01E+00,1.19E-01,7.87E-02
3.88E+01,1.41E-01,6.22E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.40E-01,8.38E-02,5.40E-02
3.88E+01,1.54E-01,6.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.46E-01,5.58E-02,4.43E-02
3.88E+01,1.66E-01,6.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.67E-01,6.02E-02,4.09E-02
3.88E+01,1.79E-01,6.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.10E-01,5.59E-02,4.42E-02
3.88E+01,1.92E-01,6.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.69E-01,6.80E-02,4.27E-02
3.88E+01,2.05E-01,6.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.03E-01,4.23E-02,2.37E-02
3.88E+01,2.18E-01,6.24E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.22E-01,4.11E-02,1.95E-02
3.88E+01,2.90E-01,6.25E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.14E-01,3.49E-02,8.94E-03
3.88E+01,3.14E-01,6.20E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.44E-02,3.07E-02,6.26E-03
3.88E+01,3.40E-01,6.09E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.60E-02,1.19E-02,2.63E-03
3.88E+01,1.15E-01,6.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.18E-01,1.23E-01,7.55E-02
3.88E+01,1.28E-01,6.70E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.15E-01,7.75E-02,4.48E-02
3.88E+01,1.41E-01,6.70E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.65E-01,7.58E-02,5.25E-02
3.88E+01,1.54E-01,6.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.67E-01,6.99E-02,2.96E-02
3.88E+01,1.67E-01,6.71E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.96E-01,5.26E-02,2.64E-02
3.88E+01,1.79E-01,6.69E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.59E-01,4.08E-02,1.95E-02
3.88E+01,1.92E-01,6.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.06E-01,4.27E-02,2.01E-02
3.88E+01,2.05E-01,6.70E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.31E-01,3.88E-02,1.76E-02
3.88E+01,2.18E-01,6.69E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.09E-01,2.53E-02,7.56E-03
3.88E+01,2.92E-01,6.74E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.50E-02,1.59E-02,4.01E-03
3.88E+01,3.21E-01,6.79E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.05E-02,2.19E-02,4.37E-03
3.88E+01,3.55E-01,6.77E-01,M^3 dsig/dM dxF,"""nb GeV^2""",9.46E-02,4.62E-02,5.70E-03
3.88E+01,1.17E-01,7.20E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.51E-01,1.31E-01,5.65E-02
3.88E+01,1.29E-01,7.20E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.37E-01,9.32E-02,3.47E-02
3.88E+01,1.41E-01,7.19E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.54E-01,4.02E-02,1.75E-02
3.88E+01,1.53E-01,7.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.79E-01,4.54E-02,2.78E-02
3.88E+01,1.67E-01,7.20E-01,M^3 dsig/dM dxF,"""nb GeV^2""",2.12E-01,4.91E-02,1.99E-02
3.88E+01,1.79E-01,7.20E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.69E-01,2.76E-02,1.54E-02
3.88E+01,1.91E-01,7.26E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.86E-01,3.44E-02,1.44E-02
3.88E+01,2.05E-01,7.19E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.69E-01,1.68E-01,2.24E-02
3.88E+01,2.17E-01,7.17E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.10E-01,2.54E-02,1.22E-02
3.88E+01,2.91E-01,7.28E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.78E-02,2.45E-02,1.94E-03
3.88E+01,3.39E-01,7.23E-01,M^3 dsig/dM dxF,"""nb GeV^2""",4.01E-01,2.84E-01,4.84E-02
3.88E+01,1.16E-01,7.70E-01,M^3 dsig/dM dxF,"""nb GeV^2""",3.31E-01,1.15E-01,5.76E-02
3.88E+01,1.28E-01,7.67E-01,M^3 dsig/dM dxF,"""nb GeV^2""",5.16E-01,2.57E-01,4.87E-02
3.88E+01,1.41E-01,7.68E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.33E-01,2.77E-02,1.20E-02
3.88E+01,1.54E-01,7.71E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.83E-01,4.34E-02,1.69E-02
3.88E+01,1.66E-01,7.69E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.03E-01,2.31E-02,7.55E-03
3.88E+01,1.79E-01,7.67E-01,M^3 dsig/dM dxF,"""nb GeV^2""",8.33E-02,2.53E-02,7.18E-03
3.88E+01,1.92E-01,7.73E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.13E-01,4.31E-02,2.07E-02
3.88E+01,2.05E-01,7.72E-01,M^3 dsig/dM dxF,"""nb GeV^2""",1.08E-01,3.69E-02,1.12E-02
3.88E+01,2.19E-01,7.76E-01,M^3 dsig/dM dxF,"""nb GeV^2""",7.61E-02,2.54E-02,7.50E-03
3.88E+01,2.94E-01,7.65E-01,M^3 dsig/dM dxF,"""nb GeV^2""",6.94E-02,5.19E-02,6.92E-03
